Date,Low,Open,Volume,High,Close,Adjusted Close
2/1/2019,40.45540619,40.91081619,26430315,41.27134705,41.0341568,35.73406219
3/1/2019,39.80075836,41.02466965,28503533,41.11954498,39.88614655,34.73432922
4/1/2019,40.09487534,40.26565552,27145348,41.12903214,40.79696274,35.52750778
7/1/2019,40.66413879,40.86337662,20995469,41.3852005,41.01517868,35.71754074
8/1/2019,40.93927765,41.32827377,19677231,41.46110153,41.20493317,35.88277817
9/1/2019,40.98671722,41.23339844,20107580,41.43263626,41.11954498,35.8084259
10/1/2019,39.87665939,41.00569153,39731162,41.01517868,40.14231491,34.95741272
11/1/2019,39.99051285,40.16128922,21064506,40.6831131,40.6831131,35.4283638
14/01/2019,40.00948715,40.37001801,17605173,40.44591904,40.19924164,35.00698471
15/01/2019,40.25616837,40.41745758,25865371,41.02466965,40.54079819,35.3044281
16/01/2019,39.87665939,40.40797043,30169380,40.5977211,39.95256042,34.79217529
17/01/2019,39.68690872,39.80075836,24177284,40.47438431,40.29411697,35.08961105
18/01/2019,40.09487534,40.66413879,38618455,40.6831131,40.3510437,35.13919449
22/01/2019,39.78178406,40.23719025,29444122,40.50284576,40.10436249,34.92436218
23/01/2019,39.4212532,39.83871078,24462813,40.03795242,40,34.83348083
24/01/2019,38.53889847,39.63946915,34394023,39.6489563,38.85199356,33.83375931
25/01/2019,38.43453598,38.99430847,35862455,39.13662338,38.55787659,33.57762909
28/01/2019,37.45730591,38.42504883,39329694,38.45351028,37.50474548,32.66052628
29/01/2019,37.44781876,37.47628021,51376808,38.75711441,38.68121338,33.68503952
30/01/2019,38.64326477,38.68121338,36067880,39.61100769,39.44971466,34.35426712
31/01/2019,39.23149872,39.25996017,40927452,40.43643188,40.27514267,35.37940598
1/2/2019,40.37001801,40.67362213,27239681,40.91081619,40.6831131,35.73778534
4/2/2019,39.81024551,40.64516068,19426485,40.64516068,40.26565552,35.37106705
5/2/2019,39.90512466,40.25616837,21127641,40.54079819,39.95256042,35.09603119
6/2/2019,39.6489563,39.77229691,16450410,40.19924164,40.16128922,35.27938843
7/2/2019,39.09867096,39.95256042,24248008,39.99051285,39.56356812,34.75432205
8/2/2019,39.36432648,39.4022789,27500125,40.07590103,40.06641388,35.19604874
11/2/2019,39.38330078,40.11385345,27102134,40.14231491,39.54459381,34.73765945
12/2/2019,39.26945114,39.57305527,30540177,39.85768509,39.72485733,34.89600754
13/02/2019,39.26945114,39.77229691,24757195,39.90512466,39.56356812,34.75432205
14/02/2019,39.48766708,39.56356812,19864949,39.96204758,39.81973267,34.97935104
15/02/2019,39.92409897,40.20872879,19168993,40.3320694,40.22770309,35.33772278
19/02/2019,40.02846146,40.07590103,24432985,40.66413879,40.41745758,35.50442123
20/02/2019,39.78178406,40.3510437,27354884,40.37950516,40.03795242,35.1710434
21/02/2019,39.71537018,39.86717224,19611883,40.15180206,39.9810257,35.1210289
22/02/2019,40.05692673,40.13282776,24779329,40.92030334,40.75901413,35.80445099
25/02/2019,40.74003983,40.83491516,25274815,41.14800644,40.87286377,35.90446091
26/02/2019,40.60721207,40.75901413,16548959,41.01517868,40.81594086,35.85445786
27/02/2019,40.61669922,40.77798843,16475074,41.00569153,40.73054886,35.77944565
28/02/2019,40.67362213,40.74952698,39002427,41.53700256,41.12903214,36.12949753
1/3/2019,41.07210541,41.37571335,26667781,41.54648972,41.13851929,36.13782883
4/3/2019,40.6831131,41.21442032,22805820,41.35673523,40.86337662,35.89612961
5/3/2019,40.65464783,40.88235474,26529812,41.0341568,40.69260025,35.74611282
6/3/2019,39.48766708,40.62618637,22410359,40.67362213,39.71537018,34.88767242
7/3/2019,39.13662338,39.71537018,29046132,39.74383163,39.26945114,34.49595261
